DATE,EFFR
2000-07-01,6.60
2000-10-01,5.41
2001-01-01,5.29
2001-04-01,3.95
2001-07-01,2.75
2001-10-01,1.52
2002-01-01,1.74
2002-04-01,1.73
2002-07-01,1.85
2002-10-01,1.16
2003-01-01,1.38
2003-04-01,1.45
2003-07-01,1.17
2003-10-01,0.94
2004-01-01,1.05
2004-04-01,1.38
2004-07-01,1.94
2004-10-01,1.97
2005-01-01,2.96
2005-04-01,3.35
2005-07-01,3.93
2005-10-01,4.09
2006-01-01,5.00
2006-04-01,5.05
2006-07-01,5.34
2006-10-01,5.17
2007-01-01,5.30
2007-04-01,5.31
2007-07-01,4.58
2007-10-01,3.06
2008-01-01,2.51
2008-04-01,2.47
2008-07-01,2.03
2008-10-01,0.14
2009-01-01,0.16
2009-04-01,0.22
2009-07-01,0.07
2009-10-01,0.05
2010-01-01,0.09
2010-04-01,0.09
2010-07-01,0.15
2010-10-01,0.13
2011-01-01,0.10
2011-04-01,0.07
2011-07-01,0.06
2011-10-01,0.04
2012-01-01,0.09
2012-04-01,0.09
2012-07-01,0.09
2012-10-01,0.09
2013-01-01,0.09
2013-04-01,0.07
2013-07-01,0.06
2013-10-01,0.07
2014-01-01,0.06
2014-04-01,0.09
2014-07-01,0.07
2014-10-01,0.06
2015-01-01,0.06
2015-04-01,0.08
2015-07-01,0.07
2015-10-01,0.20
2016-01-01,0.25
2016-04-01,0.30
2016-07-01,0.29
2016-10-01,0.55
2017-01-01,0.82
2017-04-01,1.06
2017-07-01,1.06
2017-10-01,1.33
2018-01-01,1.67
2018-04-01,1.91
2018-07-01,2.18
2018-10-01,2.4
2019-01-01,2.43
2019-04-01,2.4
2019-07-01,1.9
2019-10-01,1.55
2020-01-01,0.08
2020-04-01,0.08
2020-07-01,0.09
2020-10-01,0.09
2021-01-01,0.06
2021-04-01,0.08
2021-07-01,0.06
2021-10-01,0.07
2022-01-01,0.33
2022-04-01,.
