DATE,GDPC1_PC1
2000-07-01,3.97408
2000-10-01,2.90162
2001-01-01,2.19554
2001-04-01,0.99193
2001-07-01,0.48735
2001-10-01,0.17064
2002-01-01,1.32881
2002-04-01,1.32288
2002-07-01,2.14067
2002-10-01,1.99129
2003-01-01,1.67619
2003-04-01,1.95699
2003-07-01,3.23991
2003-10-01,4.29508
2004-01-01,4.35338
2004-04-01,4.23481
2004-07-01,3.49083
2004-10-01,3.35577
2005-01-01,3.90862
2005-04-01,3.60741
2005-07-01,3.44767
2005-10-01,2.98267
2006-01-01,3.22486
2006-04-01,2.97727
2006-07-01,2.32829
2006-10-01,2.60890
2007-01-01,1.54072
2007-04-01,1.93864
2007-07-01,2.39856
2007-10-01,2.16088
2008-01-01,1.44680
2008-04-01,1.38013
2008-07-01,0.24220
2008-10-01,-2.54034
2009-01-01,-3.28239
2009-04-01,-3.99550
2009-07-01,-3.13768
2009-10-01,0.08166
2010-01-01,1.76846
2010-04-01,2.92747
2010-07-01,3.34919
2010-10-01,2.78845
2011-01-01,2.03061
2011-04-01,1.73791
2011-07-01,0.91822
2011-10-01,1.52269
2012-01-01,2.60025
2012-04-01,2.37382
2012-07-01,2.59262
2012-10-01,1.56606
2013-01-01,1.61630
2013-04-01,1.29617
2013-07-01,1.91984
2013-10-01,2.53205
2014-01-01,1.29406
2014-04-01,2.45200
2014-07-01,2.83146
2014-10-01,2.56376
2015-01-01,3.76120
2015-04-01,3.03985
2015-07-01,2.18267
2015-10-01,1.87468
2016-01-01,1.64819
2016-04-01,1.36763
2016-07-01,1.64826
2016-10-01,2.00418
2017-01-01,1.88528
2017-04-01,2.14672
2017-07-01,2.26656
2017-10-01,2.71789
2018-01-01,3.01531
2018-04-01,3.29615
2018-07-01,3.05289
2018-10-01,2.32062
2019-01-01,2.15300
2019-04-01,2.11148
2019-07-01,2.31833
2019-10-01,2.56942
2020-01-01,0.63079
2020-04-01,-9.08374
2020-07-01,-2.88751
2020-10-01,-2.26292
2021-01-01,0.54698
2021-04-01,12.22668
2021-07-01,4.94656
2021-10-01,5.53348
2022-01-01,3.56975
